self.test_dataset is None. Custom split for Peptides will be used.
Epoch 61, Train mae: 0.3585439224444021, Validation mae: 0.34793991511443917, Test mae: 0.36025207870408527
Epoch 62, Train mae: 0.4035125863724225, Validation mae: 0.392895159152177, Test mae: 0.4053033239107079
Epoch 63, Train mae: 0.35751827067617525, Validation mae: 0.34760737443420314, Test mae: 0.36057113597496343
Epoch 64, Train mae: 0.362861527080842, Validation mae: 0.3522354691568642, Test mae: 0.36323177650832966
Epoch 65, Train mae: 0.3600419871937348, Validation mae: 0.3500132400275606, Test mae: 0.3608267148105641
Epoch 66, Train mae: 0.366021363038779, Validation mae: 0.356015538463568, Test mae: 0.3654194979108183
Epoch 67, Train mae: 0.38841051939087895, Validation mae: 0.37908009033456785, Test mae: 0.39104889553792993
Epoch 68, Train mae: 0.35508957472882957, Validation mae: 0.34624250315637967, Test mae: 0.35800158165647766
Epoch 69, Train mae: 0.3515303076097479, Validation mae: 0.342686574009548, Test mae: 0.3533543582026
Epoch 70, Train mae: 0.35137474836481314, Validation mae: 0.3419706944179658, Test mae: 0.3531078311543974
Epoch 71, Train mae: 0.36695845817495576, Validation mae: 0.3583563222157909, Test mae: 0.37044774787920015
Epoch 72, Train mae: 0.35768618947841485, Validation mae: 0.3492463865360954, Test mae: 0.3602499911990712
Epoch 73, Train mae: 0.36815743491904646, Validation mae: 0.3607571824892863, Test mae: 0.3732354446753367
Epoch 74, Train mae: 0.35452798209282027, Validation mae: 0.34673731106384176, Test mae: 0.357353685637085
Epoch 75, Train mae: 0.35948545978762875, Validation mae: 0.3513206182273863, Test mae: 0.3640257092899951
Epoch 76, Train mae: 0.3510950212643972, Validation mae: 0.34396864154828766, Test mae: 0.3549401743864103
Epoch 77, Train mae: 0.3463043157868844, Validation mae: 0.3384290083776161, Test mae: 0.34973089061341844
Epoch 78, Train mae: 0.36209313819919986, Validation mae: 0.35162219288828855, Test mae: 0.36128246949139403
Epoch 79, Train mae: 0.35710211512214246, Validation mae: 0.3495732696462424, Test mae: 0.36090162953866084
Epoch 80, Train mae: 0.3499829662867986, Validation mae: 0.34243297826215874, Test mae: 0.3528796537451251
Epoch 81, Train mae: 0.35331624400415057, Validation mae: 0.3456817445888994, Test mae: 0.35743952452088057
Epoch 82, Train mae: 0.39007103754243294, Validation mae: 0.3817324942143267, Test mae: 0.393621929939189
Epoch 83, Train mae: 0.42240976326042184, Validation mae: 0.41394743961308045, Test mae: 0.4273883329344021
Epoch 84, Train mae: 0.34300920261166234, Validation mae: 0.335285652213115, Test mae: 0.3448850018995507
Epoch 85, Train mae: 0.346985072144192, Validation mae: 0.33984936415151895, Test mae: 0.3514812433351421
Epoch 86, Train mae: 0.34284245666086666, Validation mae: 0.3357014680742348, Test mae: 0.3452060930798464
Epoch 87, Train mae: 0.34276338642899756, Validation mae: 0.3353997931517229, Test mae: 0.3455130966090174
Epoch 88, Train mae: 0.34485141535938074, Validation mae: 0.3377941363310926, Test mae: 0.34868844374470936
Epoch 89, Train mae: 0.34494457123284616, Validation mae: 0.33786005991203805, Test mae: 0.34758650080322046
Epoch 90, Train mae: 0.3642265055810672, Validation mae: 0.35611119261630764, Test mae: 0.3679921353185499
Epoch 91, Train mae: 0.35649037760226976, Validation mae: 0.3491911877510835, Test mae: 0.3610591382389159
