Epoch 49, Loss: 2043.883544921875, Train acc: -0.2567901909351349, Validation acc: -0.26437845826148987, Test acc: -0.25667428970336914
Epoch 50, Loss: 2048.630126953125, Train acc: -0.26083120703697205, Validation acc: -0.2674698531627655, Test acc: -0.2595692276954651
Epoch 51, Loss: 2041.7005615234375, Train acc: -0.25592488050460815, Validation acc: -0.26212844252586365, Test acc: -0.2551894783973694
Epoch 52, Loss: 2032.4600830078125, Train acc: -0.2562111020088196, Validation acc: -0.26284879446029663, Test acc: -0.25574538111686707
Epoch 53, Loss: 2033.6986083984375, Train acc: -0.2567395567893982, Validation acc: -0.2633648216724396, Test acc: -0.25637033581733704
Epoch 54, Loss: 2030.1104736328125, Train acc: -0.2544811964035034, Validation acc: -0.2608226537704468, Test acc: -0.25453075766563416
Epoch 55, Loss: 2024.701416015625, Train acc: -0.25542885065078735, Validation acc: -0.2623427212238312, Test acc: -0.25508689880371094
Epoch 56, Loss: 2026.088134765625, Train acc: -0.2524532675743103, Validation acc: -0.259448379278183, Test acc: -0.2522584795951843
Epoch 57, Loss: 2027.150146484375, Train acc: -0.2592085301876068, Validation acc: -0.267094224691391, Test acc: -0.26005181670188904
Epoch 58, Loss: 2023.4320068359375, Train acc: -0.2542192041873932, Validation acc: -0.2609541416168213, Test acc: -0.2541908025741577
Epoch 59, Loss: 2024.95263671875, Train acc: -0.25281062722206116, Validation acc: -0.25942766666412354, Test acc: -0.25288817286491394
Epoch 60, Loss: 2017.8819580078125, Train acc: -0.2504381537437439, Validation acc: -0.2573442757129669, Test acc: -0.25046634674072266
Epoch 61, Loss: 2010.572021484375, Train acc: -0.2527238428592682, Validation acc: -0.2602139115333557, Test acc: -0.2533399164676666
Epoch 62, Loss: 2018.25634765625, Train acc: -0.25275325775146484, Validation acc: -0.2609316110610962, Test acc: -0.25243324041366577
Epoch 63, Loss: 2013.649658203125, Train acc: -0.2510817050933838, Validation acc: -0.2583446204662323, Test acc: -0.25114405155181885
Epoch 64, Loss: 2009.7799072265625, Train acc: -0.25054726004600525, Validation acc: -0.25761333107948303, Test acc: -0.25085312128067017
Epoch 65, Loss: 2003.0255126953125, Train acc: -0.2493458390235901, Validation acc: -0.25676605105400085, Test acc: -0.24969375133514404
Epoch 66, Loss: 1999.9422607421875, Train acc: -0.2486383318901062, Validation acc: -0.2561286687850952, Test acc: -0.24976025521755219
Epoch 67, Loss: 2002.5159912109375, Train acc: -0.2506139576435089, Validation acc: -0.2581985890865326, Test acc: -0.2514435946941376
Epoch 68, Loss: 2002.8677978515625, Train acc: -0.25351038575172424, Validation acc: -0.2608064115047455, Test acc: -0.25373247265815735
Epoch 69, Loss: 2002.1800537109375, Train acc: -0.25207751989364624, Validation acc: -0.25894421339035034, Test acc: -0.2523192763328552
Epoch 70, Loss: 2000.2813720703125, Train acc: -0.24921274185180664, Validation acc: -0.25626951456069946, Test acc: -0.2496347427368164
Epoch 71, Loss: 1996.0032958984375, Train acc: -0.24862134456634521, Validation acc: -0.25632819533348083, Test acc: -0.249281108379364
Epoch 72, Loss: 1995.5885009765625, Train acc: -0.2485070377588272, Validation acc: -0.2560369372367859, Test acc: -0.2500338554382324
Epoch 73, Loss: 1992.234619140625, Train acc: -0.24839124083518982, Validation acc: -0.2561916708946228, Test acc: -0.24929167330265045
Epoch 74, Loss: 1989.5233154296875, Train acc: -0.24840034544467926, Validation acc: -0.2562582194805145, Test acc: -0.2494586557149887
Epoch 75, Loss: 1983.0550537109375, Train acc: -0.24839860200881958, Validation acc: -0.2554735243320465, Test acc: -0.24888832867145538
Epoch 76, Loss: 1982.531982421875, Train acc: -0.2479528933763504, Validation acc: -0.25597184896469116, Test acc: -0.2493814080953598
Epoch 77, Loss: 1989.05126953125, Train acc: -0.24781717360019684, Validation acc: -0.25536495447158813, Test acc: -0.24902135133743286
Epoch 78, Loss: 1980.781494140625, Train acc: -0.2470822036266327, Validation acc: -0.25408366322517395, Test acc: -0.24788405001163483
Epoch 79, Loss: 1970.75439453125, Train acc: -0.24607038497924805, Validation acc: -0.2543621063232422, Test acc: -0.24694295227527618
Epoch 80, Loss: 1973.0657958984375, Train acc: -0.24921971559524536, Validation acc: -0.25760385394096375, Test acc: -0.2505914866924286
Epoch 81, Loss: 1971.9747314453125, Train acc: -0.24624574184417725, Validation acc: -0.2541026473045349, Test acc: -0.24738642573356628
Epoch 82, Loss: 1974.3707275390625, Train acc: -0.24656793475151062, Validation acc: -0.25414061546325684, Test acc: -0.24678198993206024
Epoch 83, Loss: 1968.726318359375, Train acc: -0.2443666160106659, Validation acc: -0.25255200266838074, Test acc: -0.246223583817482
Epoch 84, Loss: 1972.7080078125, Train acc: -0.2455451786518097, Validation acc: -0.2535899877548218, Test acc: -0.2469349503517151
Epoch 85, Loss: 1976.708984375, Train acc: -0.24522773921489716, Validation acc: -0.25382673740386963, Test acc: -0.2465512901544571
Epoch 86, Loss: 1973.9393310546875, Train acc: -0.24466395378112793, Validation acc: -0.25260859727859497, Test acc: -0.24581463634967804
Epoch 87, Loss: 1965.6466064453125, Train acc: -0.24464087188243866, Validation acc: -0.25283828377723694, Test acc: -0.24566830694675446
Epoch 88, Loss: 1966.2537841796875, Train acc: -0.24490393698215485, Validation acc: -0.2522739768028259, Test acc: -0.24600809812545776
Epoch 89, Loss: 1968.5760498046875, Train acc: -0.24520401656627655, Validation acc: -0.2536650002002716, Test acc: -0.246588796377182
Epoch 90, Loss: 1965.547119140625, Train acc: -0.24398595094680786, Validation acc: -0.25267165899276733, Test acc: -0.24497400224208832
Epoch 91, Loss: 1957.2640380859375, Train acc: -0.24500183761119843, Validation acc: -0.2533181607723236, Test acc: -0.24573743343353271
Epoch 92, Loss: 1957.5216064453125, Train acc: -0.24316707253456116, Validation acc: -0.2511943578720093, Test acc: -0.2440461367368698
Epoch 93, Loss: 1957.3453369140625, Train acc: -0.24402852356433868, Validation acc: -0.2516878545284271, Test acc: -0.24500836431980133
Epoch 94, Loss: 1958.2181396484375, Train acc: -0.24440523982048035, Validation acc: -0.25314053893089294, Test acc: -0.2463894933462143
Epoch 95, Loss: 1961.677001953125, Train acc: -0.24444563686847687, Validation acc: -0.2539469003677368, Test acc: -0.24585871398448944
Epoch 96, Loss: 1949.0572509765625, Train acc: -0.2430284023284912, Validation acc: -0.25240376591682434, Test acc: -0.2448200136423111
Epoch 97, Loss: 1944.1636962890625, Train acc: -0.24460043013095856, Validation acc: -0.2529382109642029, Test acc: -0.2460368126630783
Epoch 98, Loss: 1949.4833984375, Train acc: -0.2431502491235733, Validation acc: -0.25250884890556335, Test acc: -0.24489980936050415
Epoch 99, Loss: 1951.0469970703125, Train acc: -0.2473319172859192, Validation acc: -0.25739961862564087, Test acc: -0.2497328668832779
Epoch 100, Loss: 1955.3614501953125, Train acc: -0.2484188675880432, Validation acc: -0.2581145167350769, Test acc: -0.25071069598197937
Epoch 101, Loss: 1953.803466796875, Train acc: -0.2419324666261673, Validation acc: -0.2512769103050232, Test acc: -0.2439873367547989
100 epochs without improvement, stopping training
Saved model in directory:  /n/home07/lfesser/fasrc/GNNs/GNN_Optimization_Dynamics
