,dataset,rewiring,layer_type,num_iterations,borf_batch_add,borf_batch_remove,sdrf_remove_edges,alpha,eps,test_mean,test_ci,val_mean,val_ci,train_mean,train_ci,last_layer_fa,run_duration
0,zinc,,GCN,1,20,3,False,0.1,0.001,0.9079590028285981,0.024110602101497274,0.8670190205574034,0.020901416492086773,0.859973764705658,0.026207846531641158,False,1765.0159261226654
0,peptides_struct,,GCN,1,20,3,False,0.1,0.001,0.32625453456028086,0.0,0.313555411262504,0.0,0.31999552011171917,0.0,False,230.76347279548645
