,dataset,rewiring,layer_type,num_iterations,borf_batch_add,borf_batch_remove,sdrf_remove_edges,alpha,eps,test_mean,test_ci,val_mean,val_ci,train_mean,train_ci,last_layer_fa,run_duration
0,mutag,,R-GCN,40,20,3,False,0.1,0.001,0.0,0.0,0.0,0.0,0.0,0.0,False,43.54764437675476
0,mutag,,R-GCN,40,20,3,False,0.1,0.001,0.0,0.0,0.0,0.0,0.0,0.0,False,90.84523391723633
0,mutag,,R-GCN,40,20,3,False,0.1,0.001,0.0,0.0,0.0,0.0,0.0,0.0,False,68.96588277816772
0,enzymes,,R-GCN,40,20,3,False,0.1,0.001,0.0,0.0,0.0,0.0,0.0,0.0,False,247.78513741493225
