Starting training
Epoch 0, Train acc: 0.0616063548102383, Validation acc: 0.06283092128485704 (new best validation), Test acc: 0.05630074126367808
Epoch 1, Train acc: 0.062312444836716684, Validation acc: 0.06283092128485704, Test acc: 0.056477232615601836
Epoch 2, Train acc: 0.06257722859664608, Validation acc: 0.0633603953406283, Test acc: 0.05735968937522062
Epoch 3, Train acc: 0.06310679611650485, Validation acc: 0.06371337804447583 (new best validation), Test acc: 0.05877162019061066
Epoch 4, Train acc: 0.06407766990291262, Validation acc: 0.06424285210024709, Test acc: 0.05877162019061066
Epoch 5, Train acc: 0.06513680494263019, Validation acc: 0.06494881750794211 (new best validation), Test acc: 0.05894811154253442
Epoch 6, Train acc: 0.06610767872903796, Validation acc: 0.06565478291563713 (new best validation), Test acc: 0.05930109424638193
Epoch 7, Train acc: 0.06690203000882612, Validation acc: 0.06689022237910343 (new best validation), Test acc: 0.05983056830215319
Epoch 8, Train acc: 0.06804942630185348, Validation acc: 0.06689022237910343, Test acc: 0.06071302506177197
Epoch 9, Train acc: 0.06910856134157105, Validation acc: 0.06759618778679845 (new best validation), Test acc: 0.06124249911754324
Epoch 10, Train acc: 0.07016769638128861, Validation acc: 0.06883162725026473 (new best validation), Test acc: 0.06141899046946699
Epoch 11, Train acc: 0.0706972639011474, Validation acc: 0.07024355806565478 (new best validation), Test acc: 0.06247793858100953
Epoch 12, Train acc: 0.07122683142100618, Validation acc: 0.06989057536180728, Test acc: 0.06318390398870455
Epoch 13, Train acc: 0.07166813768755516, Validation acc: 0.07042004941757854, Test acc: 0.06353688669255206
Epoch 14, Train acc: 0.07202118270079436, Validation acc: 0.07077303212142605, Test acc: 0.06388986939639958
Epoch 15, Train acc: 0.07272727272727272, Validation acc: 0.07077303212142605, Test acc: 0.06388986939639958
Epoch 16, Train acc: 0.07308031774051192, Validation acc: 0.0709495234733498 (new best validation), Test acc: 0.06424285210024709
Epoch 17, Train acc: 0.07378640776699029, Validation acc: 0.0721849629368161 (new best validation), Test acc: 0.0645958348040946
Epoch 18, Train acc: 0.07405119152691968, Validation acc: 0.07271443699258737, Test acc: 0.06494881750794211
Epoch 19, Train acc: 0.07475728155339806, Validation acc: 0.07289092834451112, Test acc: 0.06494881750794211
Epoch 20, Train acc: 0.07502206531332745, Validation acc: 0.07342040240028239 (new best validation), Test acc: 0.06565478291563713
Epoch 21, Train acc: 0.07546337157987644, Validation acc: 0.07359689375220614, Test acc: 0.06547829156371338
Epoch 22, Train acc: 0.07555163283318624, Validation acc: 0.07324391104835863, Test acc: 0.06583127426756089
Epoch 23, Train acc: 0.07590467784642542, Validation acc: 0.07306741969643488, Test acc: 0.06636074832333215
Epoch 24, Train acc: 0.0763459841129744, Validation acc: 0.07359689375220614, Test acc: 0.06671373102717967
Epoch 25, Train acc: 0.0766107678729038, Validation acc: 0.07394987645605365, Test acc: 0.06724320508295094
Epoch 26, Train acc: 0.07722859664607237, Validation acc: 0.07483233321567243 (new best validation), Test acc: 0.06759618778679845
Epoch 27, Train acc: 0.07766990291262135, Validation acc: 0.0753618072714437, Test acc: 0.0677726791387222
Epoch 28, Train acc: 0.07802294792586055, Validation acc: 0.07571478997529121 (new best validation), Test acc: 0.06865513589834098
Epoch 29, Train acc: 0.07828773168578994, Validation acc: 0.07606777267913872, Test acc: 0.06865513589834098
Epoch 30, Train acc: 0.07908208296557812, Validation acc: 0.0769502294387575 (new best validation), Test acc: 0.06918460995411224
Epoch 31, Train acc: 0.07961165048543689, Validation acc: 0.07712672079068125, Test acc: 0.06918460995411224
Epoch 32, Train acc: 0.07969991173874669, Validation acc: 0.0781856689022238 (new best validation), Test acc: 0.07006706671373103
Epoch 33, Train acc: 0.08014121800529568, Validation acc: 0.07871514295799506, Test acc: 0.07077303212142605
Epoch 34, Train acc: 0.08040600176522507, Validation acc: 0.0785386516060713, Test acc: 0.0709495234733498
Epoch 35, Train acc: 0.08049426301853486, Validation acc: 0.07906812566184257 (new best validation), Test acc: 0.07130250617719731
Epoch 36, Train acc: 0.08111209179170344, Validation acc: 0.07906812566184257, Test acc: 0.0709495234733498
Epoch 37, Train acc: 0.08137687555163284, Validation acc: 0.07942110836569008, Test acc: 0.0709495234733498
Epoch 38, Train acc: 0.08172992056487202, Validation acc: 0.07924461701376632, Test acc: 0.07112601482527356
Epoch 39, Train acc: 0.08190644307149161, Validation acc: 0.07995058242146134 (new best validation), Test acc: 0.07112601482527356
Epoch 40, Train acc: 0.08190644307149161, Validation acc: 0.08048005647723261, Test acc: 0.07130250617719731
Epoch 41, Train acc: 0.08296557811120918, Validation acc: 0.0801270737733851, Test acc: 0.07183198023296858
Epoch 42, Train acc: 0.08287731685789938, Validation acc: 0.07995058242146134, Test acc: 0.0721849629368161
Epoch 43, Train acc: 0.08287731685789938, Validation acc: 0.0801270737733851, Test acc: 0.07236145428873986
Epoch 44, Train acc: 0.08349514563106795, Validation acc: 0.08118602188492764 (new best validation), Test acc: 0.07253794564066361
Epoch 45, Train acc: 0.08402471315092674, Validation acc: 0.0817154959406989, Test acc: 0.07253794564066361
Epoch 46, Train acc: 0.08473080317740513, Validation acc: 0.08206847864454642 (new best validation), Test acc: 0.07271443699258737
Epoch 47, Train acc: 0.08473080317740513, Validation acc: 0.08206847864454642, Test acc: 0.07306741969643488
Epoch 48, Train acc: 0.0854368932038835, Validation acc: 0.08189198729262266, Test acc: 0.07342040240028239
Epoch 49, Train acc: 0.08561341571050309, Validation acc: 0.08224496999647017, Test acc: 0.07342040240028239
