Starting training
Epoch 0, Train acc: 0.05842894969108561, Validation acc: 0.058418637486763146 (new best validation), Test acc: 0.05665372396752559
Epoch 1, Train acc: 0.05948808473080318, Validation acc: 0.05877162019061066, Test acc: 0.05788916343099188
Epoch 2, Train acc: 0.059576345984112974, Validation acc: 0.05965407695022944 (new best validation), Test acc: 0.058065654782915636
Epoch 3, Train acc: 0.05984112974404236, Validation acc: 0.06106600776561948 (new best validation), Test acc: 0.05877162019061066
Epoch 4, Train acc: 0.06010591350397176, Validation acc: 0.061595481821390755, Test acc: 0.06000705965407695
Epoch 5, Train acc: 0.06142983230361871, Validation acc: 0.06265442993293328 (new best validation), Test acc: 0.06071302506177197
Epoch 6, Train acc: 0.06337157987643424, Validation acc: 0.06441934345217085 (new best validation), Test acc: 0.061595481821390755
Epoch 7, Train acc: 0.06416593115622242, Validation acc: 0.06530180021178962 (new best validation), Test acc: 0.0630074126367808
Epoch 8, Train acc: 0.0648720211827008, Validation acc: 0.06671373102717967 (new best validation), Test acc: 0.06388986939639958
Epoch 9, Train acc: 0.06646072374227714, Validation acc: 0.06812566184256971 (new best validation), Test acc: 0.06530180021178962
Epoch 10, Train acc: 0.06796116504854369, Validation acc: 0.06812566184256971, Test acc: 0.06636074832333215
Epoch 11, Train acc: 0.06866725507502207, Validation acc: 0.06900811860218849 (new best validation), Test acc: 0.06689022237910343
Epoch 12, Train acc: 0.06981465136804943, Validation acc: 0.0709495234733498 (new best validation), Test acc: 0.06847864454641722
Epoch 13, Train acc: 0.07122683142100618, Validation acc: 0.07306741969643488 (new best validation), Test acc: 0.06971408400988352
Epoch 14, Train acc: 0.07281553398058252, Validation acc: 0.0737733851041299, Test acc: 0.07024355806565478
Epoch 15, Train acc: 0.07502206531332745, Validation acc: 0.07571478997529121 (new best validation), Test acc: 0.07183198023296858
Epoch 16, Train acc: 0.07546337157987644, Validation acc: 0.07606777267913872, Test acc: 0.07324391104835863
Epoch 17, Train acc: 0.0766990291262136, Validation acc: 0.07712672079068125 (new best validation), Test acc: 0.07324391104835863
Epoch 18, Train acc: 0.07855251544571933, Validation acc: 0.0781856689022238 (new best validation), Test acc: 0.07394987645605365
Epoch 19, Train acc: 0.07925860547219771, Validation acc: 0.07906812566184257 (new best validation), Test acc: 0.07518531591951995
Epoch 20, Train acc: 0.07987643424536628, Validation acc: 0.0801270737733851 (new best validation), Test acc: 0.07712672079068125
Epoch 21, Train acc: 0.08137687555163284, Validation acc: 0.08118602188492764 (new best validation), Test acc: 0.07889163430991881
Epoch 22, Train acc: 0.08199470432480141, Validation acc: 0.08224496999647017 (new best validation), Test acc: 0.0801270737733851
Epoch 23, Train acc: 0.08331862312444836, Validation acc: 0.08506883162725026 (new best validation), Test acc: 0.08189198729262266
Epoch 24, Train acc: 0.08428949691085613, Validation acc: 0.08630427109071656 (new best validation), Test acc: 0.08259795270031768
Epoch 25, Train acc: 0.08508384819064431, Validation acc: 0.08824567596187786 (new best validation), Test acc: 0.08418637486763149
Epoch 26, Train acc: 0.08578993821712268, Validation acc: 0.08948111542534416 (new best validation), Test acc: 0.08471584892340275
Epoch 27, Train acc: 0.08693733451015004, Validation acc: 0.0908930462407342 (new best validation), Test acc: 0.08789269325803035
Epoch 28, Train acc: 0.08746690203000883, Validation acc: 0.09318743381574303 (new best validation), Test acc: 0.08983409812919167
Epoch 29, Train acc: 0.08861429832303619, Validation acc: 0.09565831274267561 (new best validation), Test acc: 0.09036357218496294
Epoch 30, Train acc: 0.08958517210944396, Validation acc: 0.09742322626191316 (new best validation), Test acc: 0.09248146840804801
Epoch 31, Train acc: 0.09099735216240071, Validation acc: 0.09954112248499823 (new best validation), Test acc: 0.09424638192728556
Epoch 32, Train acc: 0.09258605472197705, Validation acc: 0.1000705965407695, Test acc: 0.09583480409459937
Epoch 33, Train acc: 0.0941747572815534, Validation acc: 0.10148252735615955 (new best validation), Test acc: 0.09707024355806565
Epoch 34, Train acc: 0.09655781112091792, Validation acc: 0.10289445817154959 (new best validation), Test acc: 0.09918813978115072
Epoch 35, Train acc: 0.09770520741394528, Validation acc: 0.10377691493116838, Test acc: 0.09989410518884574
Epoch 36, Train acc: 0.09938217122683142, Validation acc: 0.10501235439463466 (new best validation), Test acc: 0.10183551006000706
Epoch 37, Train acc: 0.10079435127978817, Validation acc: 0.10677726791387222 (new best validation), Test acc: 0.10518884574655842
Epoch 38, Train acc: 0.10203000882612533, Validation acc: 0.10854218143310977 (new best validation), Test acc: 0.10624779385810096
Epoch 39, Train acc: 0.10273609885260371, Validation acc: 0.11066007765619484 (new best validation), Test acc: 0.10907165548888105
Epoch 40, Train acc: 0.10379523389232127, Validation acc: 0.11277797387927992 (new best validation), Test acc: 0.1108365690081186
Epoch 41, Train acc: 0.105648720211827, Validation acc: 0.11454288739851748 (new best validation), Test acc: 0.11136604306388986
Epoch 42, Train acc: 0.10767872903795234, Validation acc: 0.1152488528062125, Test acc: 0.11260148252735616
Epoch 43, Train acc: 0.10803177405119152, Validation acc: 0.11648429226967878 (new best validation), Test acc: 0.1140134133427462
Epoch 44, Train acc: 0.10909090909090909, Validation acc: 0.11683727497352629, Test acc: 0.1152488528062125
Epoch 45, Train acc: 0.1089143865842895, Validation acc: 0.1184256971408401 (new best validation), Test acc: 0.11630780091775503
Epoch 46, Train acc: 0.10988526037069726, Validation acc: 0.12107306741969644 (new best validation), Test acc: 0.1171902576773738
Epoch 47, Train acc: 0.11138570167696381, Validation acc: 0.12195552417931521, Test acc: 0.11860218849276385
