Starting training
Epoch 0, Train acc: 0.14201235657546338, Validation acc: 0.14366396046593716 (new best validation), Test acc: 0.14101659018708082
Epoch 1, Train acc: 0.13857016769638128, Validation acc: 0.14225202965054712, Test acc: 0.13501588422167313
Epoch 2, Train acc: 0.1382171226831421, Validation acc: 0.1424285210024709, Test acc: 0.13448641016590188
Epoch 3, Train acc: 0.1381288614298323, Validation acc: 0.1424285210024709, Test acc: 0.1343099188139781
Epoch 4, Train acc: 0.1381288614298323, Validation acc: 0.1424285210024709, Test acc: 0.1343099188139781
Epoch 5, Train acc: 0.1381288614298323, Validation acc: 0.1424285210024709, Test acc: 0.1343099188139781
Epoch 6, Train acc: 0.1381288614298323, Validation acc: 0.1424285210024709, Test acc: 0.1343099188139781
Epoch 7, Train acc: 0.1381288614298323, Validation acc: 0.1424285210024709, Test acc: 0.1343099188139781
Epoch 8, Train acc: 0.1381288614298323, Validation acc: 0.1424285210024709, Test acc: 0.1343099188139781
Epoch 9, Train acc: 0.1381288614298323, Validation acc: 0.1424285210024709, Test acc: 0.1343099188139781
Epoch 10, Train acc: 0.1381288614298323, Validation acc: 0.1424285210024709, Test acc: 0.1343099188139781
Epoch 11, Train acc: 0.1383936451897617, Validation acc: 0.1424285210024709, Test acc: 0.13448641016590188
Epoch 12, Train acc: 0.14624889673433364, Validation acc: 0.1411930815390046, Test acc: 0.14542887398517473
Epoch 13, Train acc: 0.1383936451897617, Validation acc: 0.13889869396399576, Test acc: 0.1418990469466996
Epoch 14, Train acc: 0.1382171226831421, Validation acc: 0.13907518531591953, Test acc: 0.1427815037063184
Epoch 15, Train acc: 0.1382171226831421, Validation acc: 0.13907518531591953, Test acc: 0.1427815037063184
Epoch 16, Train acc: 0.1382171226831421, Validation acc: 0.13907518531591953, Test acc: 0.1427815037063184
Epoch 17, Train acc: 0.1382171226831421, Validation acc: 0.13907518531591953, Test acc: 0.1427815037063184
Epoch 18, Train acc: 0.1382171226831421, Validation acc: 0.13907518531591953, Test acc: 0.1427815037063184
Epoch 19, Train acc: 0.1382171226831421, Validation acc: 0.13907518531591953, Test acc: 0.1427815037063184
Epoch 20, Train acc: 0.1382171226831421, Validation acc: 0.13907518531591953, Test acc: 0.1427815037063184
Epoch 21, Train acc: 0.13989408649602825, Validation acc: 0.1411930815390046, Test acc: 0.14384045181786093
Epoch 22, Train acc: 0.158693733451015, Validation acc: 0.1554888810448288 (new best validation), Test acc: 0.16448993999294034
Epoch 23, Train acc: 0.1319505736981465, Validation acc: 0.12107306741969644, Test acc: 0.1304271090716555
Epoch 24, Train acc: 0.12444836716681378, Validation acc: 0.11542534415813625, Test acc: 0.12283798093893399
Epoch 25, Train acc: 0.1355692850838482, Validation acc: 0.13025061771973173, Test acc: 0.13483939286974939
Epoch 26, Train acc: 0.1589585172109444, Validation acc: 0.15266501941404872, Test acc: 0.15337098482174374
Epoch 27, Train acc: 0.15066195939982346, Validation acc: 0.15178256265442994, Test acc: 0.14737027885633605
Epoch 28, Train acc: 0.1381288614298323, Validation acc: 0.1424285210024709, Test acc: 0.1343099188139781
Epoch 29, Train acc: 0.1381288614298323, Validation acc: 0.1424285210024709, Test acc: 0.1343099188139781
Epoch 30, Train acc: 0.1381288614298323, Validation acc: 0.1424285210024709, Test acc: 0.13448641016590188
Epoch 31, Train acc: 0.1383053839364519, Validation acc: 0.14260501235439463, Test acc: 0.1343099188139781
Epoch 32, Train acc: 0.13954104148278906, Validation acc: 0.14348746911401342, Test acc: 0.13501588422167313
Epoch 33, Train acc: 0.14227714033539277, Validation acc: 0.14454641722555595, Test acc: 0.13819272855630074
Epoch 34, Train acc: 0.14924977934686673, Validation acc: 0.14507589128132722, Test acc: 0.146664313448641
Epoch 35, Train acc: 0.1440423654015887, Validation acc: 0.1403106247793858, Test acc: 0.14525238263325096
Epoch 36, Train acc: 0.13962930273609886, Validation acc: 0.1403106247793858, Test acc: 0.14419343452170844
Epoch 37, Train acc: 0.14015887025595763, Validation acc: 0.13942816801976704, Test acc: 0.1424285210024709
Epoch 38, Train acc: 0.1414827890556046, Validation acc: 0.1415460642428521, Test acc: 0.14525238263325096
Epoch 39, Train acc: 0.1442188879082083, Validation acc: 0.14472290857747971, Test acc: 0.14648782209671726
Epoch 40, Train acc: 0.14651368049426303, Validation acc: 0.1478997529121073, Test acc: 0.14684080480056477
Epoch 41, Train acc: 0.14854368932038836, Validation acc: 0.14895870102364983, Test acc: 0.15090010589481115
Epoch 42, Train acc: 0.15092674315975288, Validation acc: 0.15178256265442994, Test acc: 0.15284151076597247
Epoch 43, Train acc: 0.15136804942630186, Validation acc: 0.15566537239675257, Test acc: 0.15495940698905752
Epoch 44, Train acc: 0.15507502206531332, Validation acc: 0.15213554535827745, Test acc: 0.15866572537945642
Epoch 45, Train acc: 0.1648720211827008, Validation acc: 0.15919519943522767 (new best validation), Test acc: 0.1643134486410166
Epoch 46, Train acc: 0.16972639011473964, Validation acc: 0.16590187080833038 (new best validation), Test acc: 0.17172608542181433
Epoch 47, Train acc: 0.1766107678729038, Validation acc: 0.17102012001411931 (new best validation), Test acc: 0.17949170490645958
Epoch 48, Train acc: 0.18473080317740512, Validation acc: 0.17613836921990822 (new best validation), Test acc: 0.18284504059301093
Epoch 49, Train acc: 0.19073256840247133, Validation acc: 0.18072714436992587 (new best validation), Test acc: 0.18761030709495236
Epoch 50, Train acc: 0.19602824360105914, Validation acc: 0.18496293681609602 (new best validation), Test acc: 0.19166960818919873
