Starting training
Epoch 0, Train acc: 0.053309796999117386, Validation acc: 0.0554182845040593 (new best validation), Test acc: 0.048535121779032825
Epoch 1, Train acc: 0.05383936451897617, Validation acc: 0.056830215319449345 (new best validation), Test acc: 0.049417578538651606
Epoch 2, Train acc: 0.05410414827890556, Validation acc: 0.05788916343099188 (new best validation), Test acc: 0.04994705259442287
Epoch 3, Train acc: 0.05454545454545454, Validation acc: 0.05894811154253442 (new best validation), Test acc: 0.05082950935404165
Epoch 4, Train acc: 0.05436893203883495, Validation acc: 0.06018355100600071 (new best validation), Test acc: 0.05118249205788916
Epoch 5, Train acc: 0.055075022065313325, Validation acc: 0.06018355100600071, Test acc: 0.05347687963289799
Epoch 6, Train acc: 0.055692850838481904, Validation acc: 0.06088951641369573 (new best validation), Test acc: 0.05347687963289799
Epoch 7, Train acc: 0.055692850838481904, Validation acc: 0.06124249911754324, Test acc: 0.05435933639251676
Epoch 8, Train acc: 0.05736981465136805, Validation acc: 0.06212495587716202 (new best validation), Test acc: 0.05577126720790681
Epoch 9, Train acc: 0.05754633715798765, Validation acc: 0.0633603953406283 (new best validation), Test acc: 0.05665372396752559
Epoch 10, Train acc: 0.057811120917917035, Validation acc: 0.06406636074832334 (new best validation), Test acc: 0.058065654782915636
Epoch 11, Train acc: 0.0588702559576346, Validation acc: 0.06441934345217085, Test acc: 0.05894811154253442
Epoch 12, Train acc: 0.06028243601059135, Validation acc: 0.06530180021178962 (new best validation), Test acc: 0.05947758559830568
Epoch 13, Train acc: 0.06195939982347749, Validation acc: 0.06671373102717967 (new best validation), Test acc: 0.06053653370984822
Epoch 14, Train acc: 0.06372462488967344, Validation acc: 0.06741969643487469 (new best validation), Test acc: 0.06177197317331451
Epoch 15, Train acc: 0.06548984995586937, Validation acc: 0.06847864454641722 (new best validation), Test acc: 0.06318390398870455
Epoch 16, Train acc: 0.06619593998234775, Validation acc: 0.06936110130603601 (new best validation), Test acc: 0.06388986939639958
Epoch 17, Train acc: 0.06787290379523389, Validation acc: 0.07112601482527356 (new best validation), Test acc: 0.06388986939639958
Epoch 18, Train acc: 0.06893203883495146, Validation acc: 0.0721849629368161 (new best validation), Test acc: 0.06583127426756089
Epoch 19, Train acc: 0.070432480141218, Validation acc: 0.07236145428873986, Test acc: 0.06741969643487469
Epoch 20, Train acc: 0.0707855251544572, Validation acc: 0.07342040240028239 (new best validation), Test acc: 0.06900811860218849
Epoch 21, Train acc: 0.07219770520741395, Validation acc: 0.07465584186374867 (new best validation), Test acc: 0.06989057536180728
Epoch 22, Train acc: 0.0735216240070609, Validation acc: 0.07483233321567243, Test acc: 0.0705965407695023
Epoch 23, Train acc: 0.07466902030008826, Validation acc: 0.07518531591951995, Test acc: 0.0721849629368161
Epoch 24, Train acc: 0.07572815533980583, Validation acc: 0.07677373808683374 (new best validation), Test acc: 0.07306741969643488
Epoch 25, Train acc: 0.0766990291262136, Validation acc: 0.07800917755030004 (new best validation), Test acc: 0.07518531591951995
Epoch 26, Train acc: 0.07828773168578994, Validation acc: 0.07889163430991881 (new best validation), Test acc: 0.07659724673490999
Epoch 27, Train acc: 0.07917034421888791, Validation acc: 0.08048005647723261 (new best validation), Test acc: 0.07800917755030004
Epoch 28, Train acc: 0.08031774051191527, Validation acc: 0.08277444405224144 (new best validation), Test acc: 0.07942110836569008
Epoch 29, Train acc: 0.08199470432480141, Validation acc: 0.08348040945993647, Test acc: 0.0813625132368514
Epoch 30, Train acc: 0.08340688437775816, Validation acc: 0.08436286621955524 (new best validation), Test acc: 0.08277444405224144
Epoch 31, Train acc: 0.08490732568402472, Validation acc: 0.08630427109071656 (new best validation), Test acc: 0.08312742675608895
Epoch 32, Train acc: 0.08578993821712268, Validation acc: 0.08648076244264032, Test acc: 0.08524532297917402
Epoch 33, Train acc: 0.08640776699029126, Validation acc: 0.08789269325803035 (new best validation), Test acc: 0.08665725379456407
Epoch 34, Train acc: 0.0880847308031774, Validation acc: 0.08930462407342041 (new best validation), Test acc: 0.08877515001764913
Epoch 35, Train acc: 0.08932038834951456, Validation acc: 0.09106953759265796 (new best validation), Test acc: 0.09018708083303918
Epoch 36, Train acc: 0.09073256840247132, Validation acc: 0.09142252029650547, Test acc: 0.09142252029650547
Epoch 37, Train acc: 0.09143865842894969, Validation acc: 0.09248146840804801 (new best validation), Test acc: 0.09336392516766678
Epoch 38, Train acc: 0.09276257722859664, Validation acc: 0.09318743381574303, Test acc: 0.09512883868690435
Epoch 39, Train acc: 0.094351279788173, Validation acc: 0.09389339922343805 (new best validation), Test acc: 0.09654076950229439
Epoch 40, Train acc: 0.09532215357458076, Validation acc: 0.09477585598305684, Test acc: 0.0972467349099894
Epoch 41, Train acc: 0.09558693733451015, Validation acc: 0.09512883868690435 (new best validation), Test acc: 0.09759971761383693
Epoch 42, Train acc: 0.09629302736098852, Validation acc: 0.09512883868690435, Test acc: 0.09989410518884574
Epoch 43, Train acc: 0.09752868490732568, Validation acc: 0.09548182139075186, Test acc: 0.1016590187080833
Epoch 44, Train acc: 0.09814651368049426, Validation acc: 0.09565831274267561, Test acc: 0.10183551006000706
Epoch 45, Train acc: 0.09991173874669021, Validation acc: 0.09671726085421814 (new best validation), Test acc: 0.10395340628309213
Epoch 46, Train acc: 0.10088261253309797, Validation acc: 0.09777620896576068 (new best validation), Test acc: 0.1044828803388634
Epoch 47, Train acc: 0.10185348631950573, Validation acc: 0.09865866572537946, Test acc: 0.10536533709848217
